busId,busName,lng,lat
1837,스위스대사관,126.96585371,37.570020144
1839,안국선원.삼거리,126.98510652,37.582744139
1840,세검정교회,126.95943757,37.599499752
1841,혜화동로터리,127.001025,37.585841
1842,김종영미술관,126.9781674,37.613284583
1843,서울시교육청,126.966867,37.569301
1844,창신쌍용1단지.종로센트레빌아파트,127.01559334,37.580323637
1845,사우디대사관,126.98512037,37.583864305
1846,상명대입구,126.95738627,37.599841602
1847,혜화초등학교,126.99993393,37.587379156
1849,강북삼성병원,126.96837743,37.568550919
1850,청룡사.보문파크뷰자이아파트,127.01707156,37.579807422
1851,감사원,126.98558471,37.586300255
1852,국민생활관,126.99925949,37.589618567
1855,종로센트레빌후문.e편한세상보문아파트,127.01624267,37.581926788
1856,통일부,126.98623562,37.587504607
1858,서울국제고등학교,126.99713572,37.589076424
1860,성대후문.와룡공원,126.98980182,37.589044136
1861,상명초등학교,126.95680399,37.600910321
1862,새마을금고,126.996591,37.587869
1863,경진빌라,126.95791126,37.601890025
1864,명륜시장.성대후문,126.99525736,37.588741196
1865,완성빌라,126.95767056,37.603340905
1866,양현관,126.99378447,37.589777687
1868,상명대후문,126.95746594,37.60407255
1869,샘미용실,126.99343217,37.590265093
1870,산정빌라,126.95758407,37.605284982
1872,구기빌라,126.95795618,37.606157024
1873,마트앞,126.95875194,37.606703668
1874,국민은행.세검정지점,126.96087116,37.604910581
1876,혜화역4번출구,127.00154131,37.583472298
1877,방송통신대앞,127.00206726,37.578698356
1878,서울대치과대학,126.99776841,37.577394449
1879,효제초교.연동교회.김마리아활동터,127.002064,37.573646607
1881,성균관대학교,126.9900098,37.588467346
1882,독립문역,126.95930301,37.573216716
1883,서울대치과대학,126.99783527,37.577550762
1886,이화사거리,127.0021044,37.576949623
1887,서울대학교병원현관.암병원현관,126.99816054,37.57896524
1888,종각.공평유적전시관,126.98308611,37.571594511
1889,조계사,126.98298951,37.57386103
1901,JW메리어트동대문호텔,127.00948396,37.570303364
1902,대학로,127.00202279,37.581886988
1903,창경궁,126.99652116,37.579169185
1904,창덕궁,126.99020597,37.577437042
1905,인사동.북촌,126.98382239,37.575854948
1906,경복궁.국립민속박물관,126.97984602,37.580195597
1907,세종문화회관,126.97676553,37.571133978
1910,통인시장,126.97134152,37.579120625
